Date,AAPL,MSFT,SPY,aapl_ret,msft_ret,spy_ret
27-01-2016,21.02425003,44.64993286,159.0131531,-0.067964567,-0.018377329,-0.010942887
28-01-2016,21.17502975,45.3821907,159.8414764,0.007146111,0.016266949,0.005195629
29-01-2016,21.90645218,48.02352142,163.7379761,0.033958568,0.056571168,0.024084892
01-02-2016,21.70164871,47.69226456,163.678833,-0.009392978,-0.006921704,-0.000361271
02-02-2016,21.26280975,46.20160675,160.7289581,-0.02042871,-0.031754641,-0.018186716
03-02-2016,21.68364716,45.46936035,161.6925507,0.019598864,-0.015975875,0.005977241
04-02-2016,21.85787582,45.32988358,161.9460602,0.008002917,-0.003072204,0.001566621
05-02-2016,21.27408981,43.72589874,158.8609772,-0.027071415,-0.036025922,-0.019233856
08-02-2016,21.49809647,43.07210922,156.7225647,0.010474504,-0.015064905,-0.013552324
09-02-2016,21.49357796,42.95877075,156.7309723,-0.000210204,-0.002634834,5.36E-05
10-02-2016,21.33065987,43.33361435,156.5957947,-0.007608723,0.008687811,-0.000862854
11-02-2016,21.20169067,43.31618881,154.5587769,-0.006064541,-0.000402206,-0.013093472
12-02-2016,21.26730347,44.02228928,157.7453003,0.003089918,0.01616964,0.020407252
16-02-2016,21.86692619,44.85638046,160.4077301,0.027804431,0.01876976,0.016737178
17-02-2016,22.20180702,46.02409363,163.0279694,0.015198407,0.025699193,0.016202891
18-02-2016,21.78094292,45.82216263,162.36026,-0.019138273,-0.00439716,-0.004104084
19-02-2016,21.73116493,45.49731064,162.2842102,-0.002288007,-0.007114657,-0.000468511
22-02-2016,21.92123413,46.22603607,164.6339417,0.00870836,0.015889973,0.014375292
23-02-2016,21.42569542,44.9353981,162.5546722,-0.02286484,-0.02831733,-0.012710085
24-02-2016,21.74473572,45.09343338,163.2984619,0.01478077,0.003510774,0.004565192
25-02-2016,21.89408112,45.74314117,165.2762756,0.006844639,0.014305226,0.01203889
26-02-2016,21.92802048,45.04075241,164.8959351,0.001548961,-0.015474172,-0.002303893
29-02-2016,21.87824059,44.67200851,163.6027374,-0.00227273,-0.008220591,-0.007873422
01-03-2016,22.7471199,46.1645813,167.4485474,0.038945977,0.032865768,0.023234968
02-03-2016,22.79690742,46.4894371,168.2007904,0.002186348,0.007012262,0.004482322
03-03-2016,22.96661186,45.96264267,168.8600769,0.007416616,-0.011396177,0.003911978
04-03-2016,23.30827904,45.68169403,169.4094543,0.014767118,-0.006131301,0.003248167
07-03-2016,23.05032349,44.80371094,169.5446777,-0.011128817,-0.01940668,0.000797886
08-03-2016,22.8602562,45.34804153,167.693634,-0.008279938,0.01207602,-0.01097777
09-03-2016,22.88063049,46.39286423,168.5219879,0.000890857,0.022778669,0.004927526
10-03-2016,22.89193153,45.69924164,168.6571808,0.000493791,-0.015063956,0.000801905
11-03-2016,23.1385746,46.59477997,171.3789063,0.010716607,0.019406814,0.016008793
14-03-2016,23.19740295,46.68257904,171.1591187,0.00253921,0.001882538,-0.001283289
15-03-2016,23.66353226,47.05134201,170.8801422,0.019894809,0.007868333,-0.001631255
16-03-2016,23.97804451,47.7186203,171.8691254,0.01320346,0.014082296,0.0057709
17-03-2016,23.93957901,47.99080276,172.9594116,-0.001605485,0.005687699,0.006323664
18-03-2016,23.96672821,46.96355057,173.6391144,0.001133429,-0.021637602,0.003922138
21-03-2016,23.96446991,47.28840637,173.8854675,-9.42E-05,0.006893376,0.00141776
22-03-2016,24.14774895,47.47278976,173.7920227,0.007618852,0.003891543,-0.000537537
23-03-2016,24.01424217,47.38499451,172.6450958,-0.005544086,-0.001851093,-0.006621294
24-03-2016,23.91016579,47.5956955,172.568634,-0.004343363,0.004436719,-0.000442982
28-03-2016,23.80154991,47.0074501,172.6705933,-0.004553015,-0.012436225,0.000590659
29-03-2016,24.36496544,48.03469086,174.2677612,0.023395557,0.021617374,0.009207279
