Date,AAPL,MSFT,SPY,aapl_ret,msft_ret,spy_ret,roll_mean_aapl,roll_mean_msft,roll_mean_spy,roll_var_aapl,roll_var_msft,roll_var_spy,corr_aapl_msft,corr_aapl_spy,corr_msft_spy
29-05-2018,44.27218246,90.55496979,237.7305756,-0.003612555,-0.00356506,-0.011567436,0.007151855,0.001282057,0.000437454,0.000190705,0.000105393,3.81E-05,0.042239457,0.281610932,0.731005922
30-05-2018,44.17795181,91.42346954,240.9030151,-0.002130708,0.009545157,0.013256428,0.006195609,0.002893543,0.001436337,0.000188223,7.34E-05,4.19E-05,0.149612777,0.26406765,0.711991733
31-05-2018,44.02950287,91.32185364,239.4271698,-0.003365908,-0.001112104,-0.006145148,0.004941503,0.002092873,0.001059168,0.000177073,6.53E-05,4.47E-05,0.071604983,0.295812261,0.749620317
01-06-2018,44.82353973,93.12354279,241.7778625,0.017873513,0.019536909,0.009770103,0.003734191,0.00377599,0.001845377,0.000110615,6.15E-05,4.48E-05,0.671385613,0.680216669,0.756706633
04-06-2018,45.19815826,93.93656158,242.926651,0.008322898,0.008692649,0.004740169,0.004044297,0.003905604,0.002176163,0.000111382,6.25E-05,4.42E-05,0.679510926,0.684193266,0.776438292
05-06-2018,45.54687119,94.41703033,243.1033936,0.007685592,0.005101785,0.000727291,0.00257773,0.003599946,0.001598246,5.05E-05,5.95E-05,3.83E-05,0.790029269,0.647656061,0.763987289
06-06-2018,45.70474243,94.69422913,245.1358185,0.003460134,0.002931597,0.008325577,0.002399226,0.003212045,0.001833876,4.94E-05,5.66E-05,4.03E-05,0.784257262,0.636200185,0.746771194
07-06-2018,45.58222198,93.20669556,245.1093445,-0.002684294,-0.0158335,-0.000108003,0.002043063,0.002661424,0.001828733,5.03E-05,7.16E-05,4.04E-05,0.783294442,0.646291698,0.685284564
08-06-2018,45.16752625,93.89964294,245.8339691,-0.009139389,0.007407024,0.002951971,0.001273732,0.002455789,0.001511227,5.47E-05,6.86E-05,3.73E-05,0.684716609,0.582357179,0.662662386
11-06-2018,45.05678177,93.36374664,246.1610107,-0.002454871,-0.005723465,0.001329451,0.000480519,0.001709127,0.001131337,4.64E-05,6.85E-05,3.41E-05,0.673939852,0.527523796,0.628124383
12-06-2018,45.30418396,93.60398102,246.4791107,0.005475878,0.002569797,0.001291409,0.000922717,0.001933752,0.001047755,4.65E-05,6.78E-05,3.39E-05,0.66404845,0.540638187,0.641655241
13-06-2018,44.93191147,93.17895508,245.6925659,-0.008251124,-0.004551023,-0.003196224,0.000641042,0.001556454,0.000872876,5.01E-05,6.96E-05,3.48E-05,0.683674202,0.557643449,0.652665726
14-06-2018,44.95547485,93.70560455,246.3111267,0.000524287,0.005636109,0.002514457,0.001100774,0.002170991,0.001321713,4.51E-05,6.62E-05,3.16E-05,0.654335988,0.509222975,0.627523979
15-06-2018,44.49365997,92.51372528,245.9970398,-0.010325846,-0.012800986,-0.001275977,0.000166717,0.001438708,0.001061116,4.73E-05,7.68E-05,3.15E-05,0.719857856,0.499414181,0.618088588
18-06-2018,44.47010422,93.18821716,245.4909363,-0.000529558,0.007264273,-0.002059475,0.000443592,0.00226247,0.001003287,4.52E-05,7.12E-05,3.18E-05,0.691752968,0.49580781,0.597842113
19-06-2018,43.75146484,93.18821716,244.5500336,-0.016292054,0,-0.003840103,-0.000158733,0.002173445,0.000939611,5.80E-05,7.15E-05,3.24E-05,0.63695041,0.51005313,0.601544619
